timestamp,posX,posY,posZ
16:22:40.845,0.00010767702000000002,0.0044775695,0.196124969
16:22:40.971,0.00017946170200000002,0.0131216414,0.5881595580000001
16:22:41.115,0.00021535404600000005,0.0261954262,1.1763191160000002
16:22:41.242,0.00014356937000000003,0.0436032111,1.960507932
16:22:41.379,3.5892356e-05,0.0649621444,2.9408217170000004
16:22:41.521,-8.374877100000003e-05,0.09077471890000001,4.117045122
16:22:41.640,-0.0004307080480000001,0.12096914970000001,5.489608855
16:22:41.780,-0.0008135596630000001,0.15556936510000002,7.058177919
16:22:41.897,-0.001328016528,0.19459929340000004,8.822776241
16:22:42.040,-0.0017587246020000001,0.23796322180000004,10.783451677
16:22:42.156,-0.0020817556560000002,0.28587650420000005,12.940204227
16:22:42.356,-0.002392822597,0.33824342780000005,15.29293818
16:22:42.490,-0.002787638329,0.39496827970000004,17.841773174
16:22:42.623,-0.003314059311,0.45612284450000007,20.586685282
16:22:42.734,-0.003876372631,0.5215396245000001,23.527674504
16:22:42.857,-0.004402793613,0.5914100457000001,26.66483655
16:22:42.979,-0.0050368916150000005,0.6657341081000001,29.998075710000002
16:22:43.099,-0.005682953730000001,0.7443682423000001,33.527511622
16:22:43.271,-0.006245267054,0.8274320894000001,37.252928937
16:22:43.403,-0.006723831587,0.9148538648000002,41.174351582999996
16:22:43.521,-0.007142575553,1.0065617837000003,45.291707777
16:22:43.660,-0.007597211857,1.1026276309000003,49.605236794999996
16:22:43.777,-0.008063812274,1.2031710476000004,54.114890781999996
16:22:43.899,-0.008542376804,1.3078809667000004,58.8205501
16:22:44.019,-0.009008977221,1.4169727421000005,63.722358314999994
16:22:44.144,-0.009487541750999999,1.5305181587000005,68.82029149899999
16:22:44.278,-0.009571290550999999,1.6493068481000006,74.11289003399999
16:22:44.400,-0.009451649430999999,1.7717834754000006,79.60156568299999
16:22:44.522,-0.009320044197999998,1.8986180310000007,85.28598344899999
16:22:44.645,-0.009415757114999998,2.0301455100000005,91.16676547099999
16:22:44.783,-0.009451649464999998,2.1657916351000006,97.24338531999999
16:22:44.901,-0.009379864794999998,2.3060828271000005,103.51613013799998
16:22:45.024,-0.009391828915999998,2.4505883780000004,109.98495206999998
16:22:45.149,-0.009391828923999998,2.5994518572000005,116.64992289899998
16:22:45.277,-0.009475577722999997,2.7525775516000004,123.51087513099998
16:22:45.401,-0.009523434183999997,2.9101090306000006,130.56797625999997
16:22:45.523,-0.009583254757999995,3.0721659353000006,137.82115450299997
16:22:45.662,-0.009631111218999995,3.2383893424000005,145.27043378699997
16:22:45.795,-0.009762716470999994,3.4091142472000007,152.91579018499996
16:22:45.912,-0.010025926972999994,3.5842449366000007,160.75722369699997
16:22:46.050,-0.010348958041999994,3.763613913200001,168.79475824999997
16:22:46.190,-0.010707881448999994,3.947269033300001,177.02841777199998
16:22:46.317,-0.011150553646999994,4.135282081700001,185.45808262499997
16:22:46.460,-0.011653046411999993,4.327581273600001,194.08377673599998
16:22:46.584,-0.012287144426999992,4.524262321800001,202.90552403299998
16:22:46.721,-0.012885350103999993,4.725325226300001,211.923396299
16:22:46.837,-0.013423735213999992,4.930793915400001,221.137513173
16:22:46.953,-0.013926227985999991,5.140668389100001,230.547539667
16:22:47.076,-0.01441675664499999,5.354996504000001,240.153715058
16:22:47.204,-0.01499103409499999,5.5736107624,249.955871852
16:22:47.326,-0.015529419206999991,5.7965590209,259.95401004900003
16:22:47.451,-0.01610369665699999,6.0238652077,270.14822536
16:22:47.590,-0.01680957935699999,6.2554336097,280.53856564000006
16:22:48.474,-0.01755135439499999,6.4914077963,291.1249830340001
16:22:48.626,-0.01828116531999999,6.7316441981,301.9074775420001
16:22:48.731,-0.01897508390699999,6.9761906716999995,312.8861688020001
16:22:48.846,-0.01970489483199999,7.224975432499999,324.0610807420001
16:22:48.964,-0.02047059809499999,7.478165977899999,335.43214157900013
16:22:49.087,-0.02136790660799999,7.735570882199998,346.99927953000014
16:22:49.246,-0.02234896391199999,7.997477284199999,358.76256637800014
16:22:49.392,-0.02336591355399999,8.263526260299999,370.7219064120002
16:22:49.499,-0.02432304262899999,8.5338613799,382.8772039210002
16:22:49.614,-0.02529213581699999,8.808482643,395.2285546160002
16:22:49.742,-0.026177480213999987,9.087413977899999,407.77612599100024
16:22:49.853,-0.027026932272999987,9.370727169099998,420.51965484100026
16:22:49.975,-0.027864420218999986,9.658470073199998,433.4593325880003
16:22:50.098,-0.028689944051999986,9.950499120799998,446.5950874490003
16:22:50.253,-0.029623144904999985,10.246838240199999,459.9269433510003
16:22:50.376,-0.030544381644999986,10.547535287899999,473.4547806560003
16:22:50.502,-0.031429726046999985,10.852566335699999,487.17862329200034
16:22:50.632,-0.032279178110999986,11.1620270964,501.09847125900035
16:22:50.754,-0.03323630719499999,11.4757261443,515.2144441950004
16:22:50.878,-0.03425325684599999,11.793687407399998,529.5264463890004
16:22:51.050,-0.03523431415899999,12.115958742299998,544.0345974800005
16:22:51.170,-0.03625126380999999,12.442564077299998,558.7387778290005
16:22:51.303,-0.03732803402799999,12.773575196899998,573.6389395810005
16:22:51.426,-0.03848855303699999,13.109039957699997,588.7352502300005
16:22:51.556,-0.03968496438399999,13.448886574799996,604.0277576310004
16:22:51.690,-0.040869411617999986,13.792971479099995,619.5162464350004
16:22:51.789,-0.04208975118999998,14.141294670599995,635.2008123530004
16:22:51.941,-0.04332205487499998,14.494047574999994,651.0815750230004
16:22:52.065,-0.044614179126999984,14.851278048899994,667.1583669510004
16:22:52.171,-0.045822554587999983,15.212746809999993,683.4312120650004
