timestamp,accX,accY,accZ
16:00:10.475,0.10408778,0.45014977,9.7857475
16:00:10.617,0.10408778,0.44775695,9.8001041
16:00:10.752,0.099302143,0.42861435,9.8001041
16:00:10.878,0.096909314,0.42382872,9.812068
16:00:11.008,0.10169496,0.44057846,9.7905331
16:00:11.131,0.10887343,0.45014977,9.8096752
16:00:11.250,0.08015956,0.44297129,9.8048897
16:00:11.386,0.092123672,0.44057846,9.8168535
16:00:11.496,0.096909314,0.44057846,9.812068
16:00:11.635,0.10648061,0.44536412,9.8144608
16:00:11.755,0.11365908,0.45014977,9.8144608
16:00:11.889,0.082552381,0.42861435,9.8096752
16:00:11.990,0.096909314,0.44536412,9.8096752
16:00:12.109,0.084945202,0.43340001,9.8096752
16:00:12.241,0.099302143,0.45254257,9.7977114
16:00:12.369,0.072981089,0.42143589,9.8096752
16:00:12.490,0.096909314,0.43340001,9.8024969
16:00:12.640,0.089730851,0.41665024,9.7905331
16:00:12.779,0.094516493,0.43340001,9.8072824
16:00:12.892,0.089730851,0.41904306,9.812068
16:00:13.020,0.10887343,0.42382872,9.8096752
16:00:13.146,0.099302143,0.44536412,9.8001041
16:00:13.289,0.10169496,0.41425741,9.7905331
16:00:13.413,-0.15912271,0.85214394,10.412667
16:00:13.543,0.73579293,-3.5937204,9.3789673
16:00:13.672,-2.2648067,-1.2966107,9.8599253
16:00:13.845,2.2002003,2.4601207,9.5991068
16:00:13.968,0.80997044,6.0493546,3.4974093
16:00:14.078,0.061016977,7.9755769,2.1622143
16:00:14.201,-0.66400826,9.0308113,-0.6972087
16:00:14.314,-1.14018,8.992527,0.80069828
16:00:14.449,-0.9056834,9.7031946,1.4994025
16:00:14.586,-0.54436713,9.8874426,1.2290136
16:00:14.725,-0.60897338,9.7031946,1.4371891
16:00:14.859,-0.55633128,9.7223377,1.5951154
16:00:15.019,-0.53718871,9.6649094,1.6764714
16:00:15.147,-0.56350976,9.6696959,1.7362919
16:00:15.292,-0.70468628,9.7223377,1.7913269
16:00:15.411,-0.59222358,9.5979109,1.195514
16:00:15.537,-0.65922266,9.688838,1.5999011
16:00:15.662,-0.59222358,9.760623,1.7362919
16:00:15.805,-0.78364944,9.6840525,1.6022938
16:00:15.938,-0.59940207,9.6744814,1.4706886
16:00:16.088,-0.75254273,9.7319088,1.7243278
16:00:16.217,-0.44386861,9.7079802,1.6836498
